schema_version,model,seed,season,spearman,slot_weeks
1,random,11,2019,0.0112939546125,51
1,random,12,2019,0.0164985423386,51
1,random,13,2019,0.0364107108881,51
1,random,14,2019,0.0195346644112,51
1,random,15,2019,-0.0159831870172,51
1,random,16,2019,-0.0260853759388,51
1,random,17,2019,0.010596247793,51
1,random,18,2019,0.0623726011983,51
1,random,19,2019,-0.0231426631644,51
1,regressed-rate,-1,2019,0.278348297852,51
1,shipped,-1,2019,0.393106723528,51
1,vegas-environment,-1,2019,0.360113508622,51
1,within-player,0,2019,0.389093673896,51
1,within-player,1,2019,0.390825244931,51
1,within-player,2,2019,0.389390886448,51
1,within-player,3,2019,0.383662919047,51
1,within-player,4,2019,0.387570640522,51
1,within-player,5,2019,0.387505591981,51
1,within-player,6,2019,0.388610858351,51
1,within-player,7,2019,0.384274774912,51
1,within-player,8,2019,0.383939169241,51
1,within-player,9,2019,0.386733142497,51
1,within-player,10,2019,0.384800670256,51
1,within-player,11,2019,0.387367713983,51
1,within-player,12,2019,0.388215509044,51
1,within-player,13,2019,0.386577166228,51
1,within-player,14,2019,0.388358910621,51
1,within-player,15,2019,0.384523410814,51
1,within-player,16,2019,0.388629227277,51
1,within-player,17,2019,0.392731149721,51
1,within-player,18,2019,0.388824249657,51
1,within-player,19,2019,0.385830632049,51
1,base-rate-only,-1,2020,0.354768761961,51
1,current-season-rate,-1,2020,0.22959472461,50
1,historical-rate,-1,2020,0.3039140833,51
1,no-vegas,-1,2020,0.408961968419,51
1,player-vegas,-1,2020,0.340221272916,51
1,random,0,2020,0.0542851600346,51
1,random,1,2020,-0.0011538212623,51
1,random,2,2020,-0.0533885849826,51
1,random,3,2020,0.0453113867199,51
1,random,4,2020,0.014233334698,51
1,random,5,2020,0.0230029765728,51
1,random,6,2020,0.00193090265423,51
1,random,7,2020,-0.0182536646898,51
1,random,8,2020,0.0231694290762,51
1,random,9,2020,0.0116147821616,51
1,random,10,2020,-0.0414589974151,51
1,random,11,2020,0.0355652339155,51
1,random,12,2020,0.0163631651604,51
1,random,13,2020,-0.00762702291823,51
1,random,14,2020,0.0602847586226,51
1,random,15,2020,-0.0192102241699,51
1,random,16,2020,-0.03110755997,51
1,random,17,2020,0.023941798184,51
1,random,18,2020,0.0494189320377,51
1,random,19,2020,0.015146357853,51
1,regressed-rate,-1,2020,0.300491497792,51
1,shipped,-1,2020,0.408454065618,51
1,vegas-environment,-1,2020,0.381279395594,51
1,within-player,0,2020,0.405121486843,51
1,within-player,1,2020,0.400094780127,51
1,within-player,2,2020,0.404598036741,51
1,within-player,3,2020,0.404151754646,51
1,within-player,4,2020,0.404110276539,51
1,within-player,5,2020,0.401880816295,51
1,within-player,6,2020,0.404634636625,51
1,within-player,7,2020,0.402353150119,51
1,within-player,8,2020,0.404655307898,51
1,within-player,9,2020,0.407000537263,51
1,within-player,10,2020,0.403791788728,51
1,within-player,11,2020,0.403819151074,51
1,within-player,12,2020,0.404255861282,51
1,within-player,13,2020,0.402324514844,51
1,within-player,14,2020,0.405695920424,51
1,within-player,15,2020,0.405564742116,51
1,within-player,16,2020,0.40164256377,51
1,within-player,17,2020,0.404783859549,51
1,within-player,18,2020,0.404978925751,51
1,within-player,19,2020,0.403781908991,51
1,base-rate-only,-1,2021,0.32378725552,54
1,current-season-rate,-1,2021,0.198536788317,53
1,historical-rate,-1,2021,0.317812089875,54
1,no-vegas,-1,2021,0.384463784085,54
1,player-vegas,-1,2021,0.309055424272,54
1,random,0,2021,0.0460031969991,54
1,random,1,2021,0.0190017538411,54
1,random,2,2021,-0.0183581197376,54
1,random,3,2021,-0.00738635563203,54
1,random,4,2021,0.0131784956087,54
1,random,5,2021,-0.0321250829515,54
1,random,6,2021,-0.022076427379,54
1,random,7,2021,-0.0102197951765,54
1,random,8,2021,0.000661313255411,54
1,random,9,2021,0.0309821913321,54
1,random,10,2021,-0.0127278968091,54
1,random,11,2021,-0.0207163930983,54
1,random,12,2021,0.0197034489451,54
1,random,13,2021,0.0140632748753,54
1,random,14,2021,0.0412542178255,54
1,random,15,2021,0.0157808789642,54
1,random,16,2021,-0.044935067502,54
1,random,17,2021,-0.0209337287805,54
1,random,18,2021,0.0189987818131,54
1,random,19,2021,0.0162539910148,54
1,regressed-rate,-1,2021,0.269080367095,54
1,shipped,-1,2021,0.383098933677,54
1,vegas-environment,-1,2021,0.360614868386,54
1,within-player,0,2021,0.377177795154,54
1,within-player,1,2021,0.380153813282,54
1,within-player,2,2021,0.375781173708,54
1,within-player,3,2021,0.37684472929,54
1,within-player,4,2021,0.381752206345,54
1,within-player,5,2021,0.376183498664,54
1,within-player,6,2021,0.379822837858,54
1,within-player,7,2021,0.379608124263,54
1,within-player,8,2021,0.377863479053,54
1,within-player,9,2021,0.378845679806,54
1,within-player,10,2021,0.378069909288,54
1,within-player,11,2021,0.37960545094,54
1,within-player,12,2021,0.381073729841,54
1,within-player,13,2021,0.37958648841,54
1,within-player,14,2021,0.380322366934,54
1,within-player,15,2021,0.377451926816,54
1,within-player,16,2021,0.376435409847,54
1,within-player,17,2021,0.37845026732,54
1,within-player,18,2021,0.378930747905,54
1,within-player,19,2021,0.380046563415,54
1,base-rate-only,-1,2022,0.314424227077,54
1,current-season-rate,-1,2022,0.162203980043,52
1,historical-rate,-1,2022,0.319455212228,54
1,no-vegas,-1,2022,0.38578305971,54
1,player-vegas,-1,2022,0.292291258421,54
1,random,0,2022,0.0484841071651,54
1,random,1,2022,-0.000911093461963,54
1,random,2,2022,-0.0314057709603,54
1,random,3,2022,-0.000930289896315,54
1,random,4,2022,0.016890868429,54
1,random,5,2022,-0.00409227495805,54
1,random,6,2022,0.0091821485529,54
1,random,7,2022,-0.0122322732942,54
1,random,8,2022,0.0225461644637,54
1,random,9,2022,0.00124325053766,54
1,random,10,2022,-0.0195423595088,54
1,random,11,2022,0.00777388125538,54
1,random,12,2022,-0.00889015027251,54
1,random,13,2022,-0.00126370285364,54
1,random,14,2022,0.0447473473901,54
1,random,15,2022,-0.0099626598513,54
1,random,16,2022,-0.0060174495973,54
1,random,17,2022,-0.0199674301267,54
1,random,18,2022,0.0327999957818,54
