schema_version,model,seed,season,n,deviance
1,within-player,14,2023,1683,1.10706165922
1,within-player,15,2023,1683,1.11773308654
1,within-player,16,2023,1683,1.1145376759
1,within-player,17,2023,1683,1.10412857046
1,within-player,18,2023,1683,1.10993942218
1,within-player,19,2023,1683,1.10772980563
1,base-rate-only,-1,2024,1703,1.11171551638
1,current-season-rate,-1,2024,1703,1.12789869868
1,historical-rate,-1,2024,1703,3.03827599193
1,no-vegas,-1,2024,1703,1.11382627521
1,player-vegas,-1,2024,1703,1.10254694438
1,random,0,2024,1703,2.05121777122
1,random,1,2024,1703,2.15912672494
1,random,2,2024,1703,2.38969073073
1,random,3,2024,1703,2.25425281217
1,random,4,2024,1703,2.21935865295
1,random,5,2024,1703,2.31347706085
1,random,6,2024,1703,2.27330267757
1,random,7,2024,1703,2.3425802221
1,random,8,2024,1703,2.2510133219
1,random,9,2024,1703,2.22159880431
1,random,10,2024,1703,2.27070355725
1,random,11,2024,1703,2.18370705853
1,random,12,2024,1703,2.25270674241
1,random,13,2024,1703,2.28112631803
1,random,14,2024,1703,2.10144263104
1,random,15,2024,1703,2.3644927663
1,random,16,2024,1703,2.30333443734
1,random,17,2024,1703,2.20161879097
1,random,18,2024,1703,2.08809803303
1,random,19,2024,1703,2.28501285894
1,regressed-rate,-1,2024,1703,1.17075687963
1,shipped,-1,2024,1703,1.10010115681
1,vegas-environment,-1,2024,1703,1.14441805472
1,within-player,0,2024,1703,1.10820284514
1,within-player,1,2024,1703,1.10992126193
1,within-player,2,2024,1703,1.10816185341
1,within-player,3,2024,1703,1.09784241612
1,within-player,4,2024,1703,1.1086837921
1,within-player,5,2024,1703,1.10304769073
1,within-player,6,2024,1703,1.11223232928
1,within-player,7,2024,1703,1.10434638538
1,within-player,8,2024,1703,1.10209070449
1,within-player,9,2024,1703,1.09366383824
1,within-player,10,2024,1703,1.1025048679
1,within-player,11,2024,1703,1.10614311685
1,within-player,12,2024,1703,1.10693341172
1,within-player,13,2024,1703,1.10632411362
1,within-player,14,2024,1703,1.10990835076
1,within-player,15,2024,1703,1.10314762534
1,within-player,16,2024,1703,1.10167099405
1,within-player,17,2024,1703,1.10042490703
1,within-player,18,2024,1703,1.10328089362
1,within-player,19,2024,1703,1.09559016391
