schema_version,population,axis,level,horizon,n,outcomes_known,outcome_coverage,players,seasons,forecast_mean,planning_mean,actual_mean,forecast_over_actual,played_fraction,deviance_positive_rates,zero_lam_n,zero_lam_positive_outcome_n,zero_lam_outcome_tds
1,available,rate_bin,"(0.3, 0.4]",2-3,11452,10595,0.925165909885,724,15,0.345637980313,0.332915594906,0.352902312412,0.979381442701,0.918735252478,0.921343703924,0,0,0
1,available,rate_bin,"(0.4, 0.6]",2-3,11380,10585,0.93014059754,546,15,0.483636935768,0.465850481667,0.428153046764,1.12975288452,0.935852621634,0.985054351152,0,0,0
1,available,rate_bin,"(0.6, 0.8]",2-3,4658,4305,0.924216401889,354,15,0.687206037012,0.661871502025,0.542392566783,1.26758869715,0.914285714286,1.11827142384,0,0,0
1,available,rate_bin,"(0.8, 1.0]",2-3,2669,2488,0.932184338704,276,15,0.894076360398,0.861399743632,0.672025723473,1.33046716932,0.83038585209,1.28831013356,0,0,0
1,available,rate_bin,"(1.0, inf]",2-3,12075,11355,0.940372670807,230,15,1.72274752309,1.65933497211,1.41664464993,1.22182806997,0.849229414355,1.32586176326,0,0,0
1,available,availability,full,2-3,177400,161246,0.908940248027,2467,15,0.291561357644,0.280834335569,0.290556044801,1.02523636286,0.741550177989,0.747434684234,0,0,0
1,available,overall,all,4-6,220096,193238,0.877971430648,2411,15,0.292848995058,0.271767183457,0.295423260435,1.01848994999,0.747363355034,0.772368375486,0,0,0
1,available,position,QB,4-6,32555,32555,1,263,15,0.81535381157,0.756729599307,0.769344186761,1.05980369463,0.53749040086,1.33316586713,0,0,0
1,available,position,RB,4-6,48120,48120,1,583,15,0.248215372098,0.23037102018,0.251267664173,0.98785242787,0.772610141313,0.744326088047,0,0,0
1,available,position,WR,4-6,70640,70640,1,839,15,0.193578534032,0.179660995891,0.202010192525,0.958261222425,0.844450736127,0.673513252151,0,0,0
1,available,position,TE,4-6,41923,41923,1,454,15,0.142646783155,0.132389662232,0.135486487131,1.05284878349,0.717768289483,0.535642913174,0,0,0
1,available,rate_bin,"(-0.001, 0.05]",4-6,26505,22995,0.867572156197,1275,15,0.0378850909146,0.0351647828201,0.0821482931072,0.461005137567,0.621526418787,0.483931372523,0,0,0
1,available,rate_bin,"(0.05, 0.1]",4-6,55380,47321,0.854478150957,2101,15,0.0732275353419,0.0679543655804,0.105999450561,0.690039603313,0.677437078675,0.531005550837,0,0,0
1,available,rate_bin,"(0.1, 0.15]",4-6,36484,31453,0.862103935972,1955,15,0.122686942412,0.113847047284,0.168696149811,0.72810955056,0.702667472101,0.714509882323,0,0,0
1,available,rate_bin,"(0.15, 0.2]",4-6,23351,20876,0.894008821892,1442,15,0.173180791834,0.160719635701,0.219821804943,0.788424006248,0.692326116114,0.837422400092,0,0,0
1,available,rate_bin,"(0.2, 0.3]",4-6,25934,23233,0.895851006401,1164,15,0.244137129952,0.226549070812,0.273619420652,0.891534602139,0.825248568846,0.873001592047,0,0,0
1,available,rate_bin,"(0.3, 0.4]",4-6,14290,12772,0.893771868439,744,15,0.346289723369,0.321344418203,0.357109301597,0.970145814737,0.919041653617,0.933494029677,0,0,0
1,available,rate_bin,"(0.4, 0.6]",4-6,13879,12493,0.900136897471,539,15,0.482813706791,0.448070665645,0.424717841992,1.13658910596,0.937004722645,0.974198674249,0,0,0
